kata_baku,vocabulary
tahu,ngerti
memelihara,ngerumatin
tidak,ngga
tidak,nggak
hitung,ngitung
hitung,ngitungnya
nanti,ngkoh
ojek,ngojek
ulur,ngolor
komen,ngomen
komen,ngomentari
omong,ngomong
omong,ngomongin
kontrak,ngontrak
otot,ngotot
rame,ngramein
kredit,ngredit
kumpul,ngumpul
kumpul,ngumpulin
kumpul,ngumpulkan
kumpul,ngumpulnya
tunggu,ngunggu
kurang,ngurangin
urus,ngurusin
hutang,ngutang
bagus,nice
nikmat,nikmatin
titip,nitip
jalan,njalani
karena,nkarena
namun,nmun
nomer,nomber
nomer,nomor
tidak produktif,nonproduktif
kenal,nperkenalkan
nomer pokok wajib pajak,npwp
nanti,ntar
terima kasih,nuhun
tulis,nulis
tulis,nulisnya
tunggu,nunggu
tunggu,nungguin
tunggu,nunggunya
tunggu,nungu
turun,nurunin
tutup,nutup
tutup,nutupi
terima kasih,nuwun
sadar,nyadar
sadar,nyadarin
sambung,nyambung
sampai,nyampe
cangkul,nyangkul
santai,nyantai
cari,nyari
cari,nyarinya
hampir,nyaris
sebut,nyebut
selamat,nyelamatin
sewa,nyewa
sewa,nyewain
cicil,nyicil
cicil,nyicilaja
cicil,nyicilnya
simpan,nyimpan
simpan,nyimpen
menyisihkan,nyisihin
simpan,nympan
coba,nyoba
ibu,nyokap
curi,nyuri
suruh,nyuruh
susul,nyusul
susun,nyusun
susut,nyusut
orang,oarang
oke,oceee
perhatikan,oerhatikan
jangan,ojo
oke,ok
oke,okeh
omset,omzet
buka,open
beruntung,oportuniti
beruntung,opportunity
opsi,option
atau,or
pesan,order
orang,org
orang,orgnya
oke,orkay
orang,orng
orang tua,ortu
yang lain,other
yang lain,others
keluar,out
keluaran,output
pemilik,owner
pemilik,owners
kepemilikan,ownership
pakai,pake
pakai,paki
apalagi,palagi
panjang,panjaaaang
pantas,pantes
pantas,pantesan
parkir,parking
bagian,partnya
fasilitas,pasilitas
pasif,passive
tempel,paste
payah,payaah
perserikatan bangsa bangsa,pbb
komputer pribadi,pc
padahal,pdhal
damai,peace
pemakaian,pemakaianx
pendapatan,pendatapan
pengeluaran,pengeluaranya
penghasilan,penghasilnnya
ingin,pengin
bulan,perbln
jalan,perjalanannnya
masalah karena,permasalahannyakarena
izin,permission
perusahaan,perush
banyak tingkah,petakilan
ambil,pick
pindah tangan,pindahtangankan
ingin,pinginnya
pinjam,pinjem
pinjaman,pinjeman
pakai,pk
pakai,pke
rencana,planning
tolong,please
rencana,plening
paling,plg
paling,pling
pendapatan,pndpatan
pengalaman,pngalaman
pengeluaran,pngeluarannya
pengusaha,pngusaha
pegawai negeri sipil,pns
penting,pnting
punya,pny
punya,pnya
poin,point
pola,pol
pola,polan
polisi,polis
politik,political
politik,politically
polusi,polution
forum,porum
positif,positifnya
psoitif,positip
prematur,premature
mempersembahkan,present
prinsip,prinsif
prioritas,prioritaskan
privasi,private
pernah,prnh
produk,product
program,prog
program,programs
properti,property
provinsi,propins
pasti,psti
penting,ptg
beli,purchasing
pusing,pusink
pusing,pussing
letakkan,put
pasti,pzt
kita,qt
kita,qta
ramai,rame
ribu,rb
ribu,rban
sampai,reaching
alasan,reason
alasan,reasoning
ribu,rebu
merah,red
kurangi,reduce
hormat,regards
resiko,reikonya
rejeki,rejekinya
rilis,release
rental,rentalin
lapor,report
lapor,reported
permintaan,request
hasil,result
kembali,return
kembali,returnnya
revolusi,revolution
penghargaan,reward
benar,right
rinci,rincian
bahaya,risk
bahaya,riskan
rumah,rmh
rumah tangga,rmhtga
rencana,rncn
rokok,roko
rupiah,rp
rasa,rsanya
sabar,sabarrr
sabar,sabarrrrr
aman,safe
aman,safety
sakit,sakitu
salah,salahnyah
salah satu,salasatu
penjual,sales
wanita penjual,salesgirl
penjual,salesnya
sama,samah
sampai,sampe
anda,sampean
anda,sampen
anda,sampeyan
contoh,sample
sangat,sangan
sangat,sanggat
sangat,sangt
sampai,sapai
saran,saranin
saran,saranx
syarat,sarat
sarjana,sartana
satuan kerja,satker
saudara,saudar
saudara,saudaraku
simpan,saving
melihat,saw
saya,sayah
saya kadang,sayakadang
sebagai berikut,sbb
sebagai,sbg
sebagai,sbgnya
belum,sblmnya
belum,sblum
benar,sbnrnya
besar,sbsr
secara,scara
secara,scr
sudah,sdah
sederhana,sderhana
sudah,sdh
sedikit,sdikit
sumber daya manusia,sdm
sedang,sdng
saudara,sdr
saudari,sdri
belum,sebelomnyah
benar,sebenernya
benar,sebenrnya
bulan,sebulanya
penjaga,security
sedikit,sedikiiiit
sekali,sekaliapun
sekali,sekaliiii
sekarang,sekg
sekitar,sekitatr
sekarang,sekrang
selamat,selamathn
seluruh,seluru
sempurna,sempuna
semua,semuah
semua,semuax
senang,senangin
seorang,seorg
penuh,sepenuh
september,sept
tua,sepuh
sertifikat,sertipikat
servis,service
servis,servise
sesal,sesai
sesal,sesalu
mudah,sesimple
sudah,sesudahnyah
sesuatu,sesutu
setor,setory
setuju,setujuuuuu
setuju,seyuju
segitu,sgitu
segitu,sgt
segitu,sgtu
bagi,share
bagi,sharing
bagi,sharingnya
sehingga,shg
pertunjukan,show
ruang pertunjukan,showroom
ruang pertunjukan,showroomnya
harus,shrsnya
siap,siapin
silahkan,silahken
sederhana,simple
sederhana,simplenye
sederhana,simply
nyanyi,sing
perusahaan,siperusahaan
situs,site
situs,sites
saja,sj
sekali,skali
sekali,skalian
sekali,skalipun
sekarang,skarang
sekedar,skdr
sekarang,skg
sekolah,skolah
sekarang,skr
sekarang,skrang
sekarang,skrg
sekarang,skrng
sekitar,sktr
sekolah,skul
selalu,slalu
selama,slama
selama,slamanya
selama,slma
selamat,slmat
kecil,small
pintar,smart
ponsel pintar,smartphone
sementara,smentara
semester,smester
semangat,smngt
sementara,smntara
semoga,smoga
sampai,smpe
semua,smua
sangat,snagat
sendiri,sndr
sendiri,sndri
sangat,sngat
sangat,sngt
soal,soale
soal,soalx
saudara,sodara
saudara,sodaranya
perangkat lunak,software
perangkat lunak,softwarenya
perangkat lunak,softwat
lagu,song
supir,sopil
supir,sopir
supir,sopirx
surga,sorganya
maaf,sori
maaf,sorry
maaf,sory
sepeda,spda
sepeda,speda
seperti,sprt
seperti,sprti
seperti,spt
supaya,spy
gaya,style
suami,suamijg
subjek,subject
subjektif,subjektive
dukung,suport
dukung,support
pendukung,supporter
survei,survey
bertahan,survive
setuju,sutuju
saya,sy
saya,sya
sayang,syang
sinkronisasi,synchronize
sistem,system
tahun,tahn
tidak,tak
tahun,taon
tetapi,tapi
tetapi,tapiiii
nanti,tar
tahu,tau
tahun,taun
tahu,tauny
tawakal,tawakkal
tawar,tawarin
taksi,taxi
tadi,td
tidak,tdak
tidak,tdk
tim,team
tebal,teballlll
teknologi,technologies
tengah,tegah
telepon,telp
teman,temen
teman,temenin
teman,temennya
kerangka,template
terima kasih,tenks
terima kasih,tenkyu
tentu ada,tentuada
tentu,tentuny
terakhir,terahir
unduh,terdownload
tergantung,tergatung
terima,terimah
terima kasih,terimakasih
terima kasih,terimaksih
terima kasih,terimkasih
inspirasi,terinsfirasi
terlalu,terlaluuuu
terlalu,terllu
termasuk,termnasuk
terus,teruss
tetap,tetep
tetap,teteup
teks,text
tergantung,tgantung
tanggung,tgg
tahun,th
terima kasih,thaks
terima kasih,thank
terima kasih,thanks
terima kasih,thanksssss
terima kasih,thanx
itu,that
terhadap,thd
mereka,their
tema,theme
kemudian,then
teori,theory
tesis,thesis
berpikir,thingking
pikir,think
berpikir,thinking
ini,this
terima kasih,thks
tahun,thn
tahun,thnan
terhadap,thp
tunjangan hari raya,thr
trit,thread
tahun,thun
terima kasih,thx
teknik informatika,tif
waktu,time
waktu,timenya
timur,timor
tim,timtim
tinggal,tingal
tinggal,tinggalin
tinggi,tinggiiii
tinggal,tinggl
tips,tipsnya
titip,titipin
terima kasih,tks
tolong,tlg
telepon,tlp
timpa,tmpa
tentang,tntang
hari ini,today
bagus,topppppp
tetapi,tp
tetapi,tpi
terima kasih,tq
transportasi,transpor
transportasi,transport
trit,tread
tren,trend
tren,trendy
masa coba,trial
masa coba,trialnya
terima kasih,trim
terima,trima
terima kasih,trimakasih
terima kasih,trims
terkontrol,trkontrol
terlalu,trlalu
terima,trm
terima kasih,trmaksih
ternyata,trnyata
masalah,trouble
terpakai,trpakai
terus,trs
tersendiri,trsendiri
terus,trus
terus,truz
coba,try
terus,trz
tersebut,tsb
tersebut,tsbt
tentang,ttg
tentang,ttng
tetap,ttp
itu,tu
tulisannya,tuisannya
tulisnya,tuliisanya
tipe,type
universitas ahmad dahlan,uad
wadah,uadah
sudah,ud
sudah,uda
sudah,udah
sudah,udh
sudah,udsh
universitas gajah mada,ugm
seumpama,umpama
tidak dapat,unable
uang,unag
universitas brawijaya,unbra
bawah air,underwater
universitas diponegoro,undip
copot pemasangan,unistall
untuk,untk
untuk,untu
untuk bekerja,untukbekerja
untung,untunya
penting,urgent
kepentingannya,urgentnitasnya
usaha,usahaanya
usaha,usahain
gunakan,use
berguna,useful
pengguna,user
alat,utilytinya
untuk,utk
sangat,very
visi,vision
kunjungi,visit
wakil presiden,wapres
pemanasan,warming
warung internet,warnet
wasalamuallaikum,wasalam
waspada,waspadalahhhh
wasalamuallaikum,wass
wasalamuallaikum,wassaalam
wasalamuallaikum,wassalamu
jalan,way
web,webnya
web,website
apapun ,whatever
kenapa,why
wiraswasta,wiraswata
dengan,with
tanpa,without
waktu,wkt
walaupun,wlwpun
warga negara indonesia,wni
warga negara indonesia keturunan,wniketurunan
menang,won
menakjubkan,wonderfull
orang,wong
kata,word
warga,wrga
kali,x
iya,yaa
iya,yaaa
iya,yaaaa
iya,yaah
iya,yach
iya,yah
iya,yahhh
yang,yamg
yang di,yandi
yang memang,yangmemang
ya sudah,yaudah
tahun,year
yang,yg
tidak,yidak
yang,yng
iya,yo
ya sudah,yoes
kamu,yoooooooooooiuuuuuuuuuuuuuuuuuuu
kamu,you
milikmu,your
yang terhormat,yth
ayo,yuk
ayo,yukk
iya,yup
iya,yups
nol,zero
aku,gue
aku,gw
impulsif,impulsive
tidak,kga
karena,coz
saja,dowang
nyata,real
waktu,time
terima kasih,maturnuwun
bapak,pak
terima kasih,terimakasih
pengembangan,ngembangin
saran,sarannya
belum,belu
pernah,bernah
kuisioner,kuesioner
beliau,bliau
mantap,mantab
saya,say
ajar,mengajari
ajar,diajarkan
beri,berikan
tingkat,ditingkatkan
depan,kedepanya
ketemu,diketemu
bahasa,bhs
depan,kedepannya
jadi,menjadi
bagus,sip
ajar,ngajarnya
mudah,gampang
mendadak,dimendadak
menggangu,menganggu
aktif,mengaktifkan
paham,dipahami
diminta,disuruh
seperti,kayak
lucu,terlucu
ajar,ajari
gabung,menggabungkan
temu,pertemuan
paham,memahami
beri,pemberian
ajar,ngajarnya
penguasaan,pengasaan
materi,mayeri
beri,mengasih
ajar,didikan
yang,yg
dengan,dgn
benar,benarðÿ™
kamu,you
terbaik,the best
bagus,best
buli,membuli
kurang,kurangin
marah,marahnya
lagi,lg
jelek,bad
perasaan,mood
gaul,gaullll
canda,candaaaaan
maaf,sorry
terima kasih,teriamaksih
saya suka kamu,I love u
cinta,love
kamu,u
di,d
bagus,perfect
karena,karna
Cuma,cuman
suka,menyukai
mata kuliah,matakuliah
bagus,good
pekerjaan,job
bapak,sir
bagus,good job
terbaik,terbaiq
video,vidio
saja,aja
fungsi,fungsiny
bapak,pa
mata kuliah,matkul
asik,danasik
yang,yh
di,fi
tidak,ga
cepat,kecepetan
ajar,ngajarnya
bagus,amazing
awal,aw
